# darkseed46_fortysix.txt was made for video01-01-toneonly-tri-pulse-noise - form shorts_3track
# I was using R0 of music_roll.js for this
# note options: 'c,c#,d,d#,e,f,f#,g,g#,a,a#,b'
#
#  I worked out a noise track for #45 that by itself sounds okay, but did not work well for the pulse track that I made for that one. So I Started this one with that noise track.
#
>title=dark_seed: Forty Six
>lines_per_minute=480;
#
# measure 1;
#
---  0;---  0;c-1 90;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;c-1 --;
--- --;--- --;c-1 --;
--- --;--- --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;a-1 --;
--- --;--- --;--- --;
--- --;--- --;a-1 --;
--- --;--- --;--- --;
#
# measure 2;
#
--- --;  0 --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;c-1 --;
--- --;--- --;c-1 --;
--- --;--- --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;a-1 --;
--- --;--- --;--- --;
--- --;--- --;a-1 --;
--- --;--- --;--- --;
#
# measure 3;
#
--- --;--- --;e-1 --;
--- --;--- --;--- --;
--- --;--- --;e-1 --;
--- --;--- --;--- --;
--- --;--- --;e-1 --;
--- --;--- --;--- --;
--- --;--- --;e-1 --;
--- --;--- --;--- --;
--- --;--- --;d-1 --;
--- --;--- --;--- --;
--- --;--- --;d-1 --;
--- --;--- --;--- --;
--- --;--- --;d-1 --;
--- --;--- --;--- --;
--- --;--- --;d-1 --;
--- --;--- --;--- --;
#
# measure 4;
#
--- --;--- --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;c-1 --;
--- --;--- --;c-1 --;
--- --;--- --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;a-1 --;
--- --;--- --;--- --;
--- --;--- --;a-1 --;
--- --;--- --;--- --;
#
# measure 5;
#
--- --;--- --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
#
# measure 6;
#
e-3 70;e-2 70;c-1 70;
--- --;--- --;--- --;
--- --;--- --;--- --;
e-3 --;e-2 --;c-1 --;
c-3 --;c-2 --;c-1 --;
e-3 --;e-2 --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;--- --;
c-3 --;c-2 --;c-1 --;
--- --;--- --;--- --;
c-3 --;c-2 --;c-1 --;
--- --;--- --;--- --;
a-3 --;a-2 --;a-1 --;
--- --;--- --;--- --;
a-3 --;a-2 --;a-1 --;
--- --;--- --;--- --;
#
# measure 7;
#
c-3 --;c-2 --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;--- --;
e-3 --;e-2 --;c-1 --;
c-3 --;c-2 --;c-1 --;
e-3 --;e-2 --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;--- --;
c-3 --;c-2 --;c-1 --;
--- --;--- --;--- --;
c-3 --;c-2 --;c-1 --;
--- --;--- --;--- --;
a-3 --;a-2 --;a-1 --;
--- --;--- --;--- --;
a-3 --;a-2 --;a-1 --;
--- --;--- --;--- --;
#
# measure 8;
#
e-3 --;e-2 --;e-1 --;
--- --;--- --;--- --;
e-3 --;e-2 --;e-1 --;
--- --;--- --;--- --;
e-3 --;e-2 --;e-1 --;
--- --;--- --;--- --;
e-3 --;e-2 --;e-1 --;
--- --;--- --;--- --;
d-3 --;d-2 --;d-1 --;
--- --;--- --;--- --;
d-3 --;d-2 --;d-1 --;
--- --;--- --;--- --;
d-3 --;d-2 --;d-1 --;
--- --;--- --;--- --;
d-3 --;d-2 --;d-1 --;
--- --;--- --;--- --;
#
# measure 9;
#
e-3 --;e-2 --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;--- --;
e-3 --;e-2 --;c-1 --;
c-3 --;c-2 --;c-1 --;
e-3 --;e-2 --;c-1 --;
e-3 --;e-2 --;--- --;
e-3 --;e-2 --;--- --;
c-3 --;c-2 --;c-1 --;
c-3 --;c-2 --;--- --;
c-3 --;c-2 --;c-1 --;
c-3 --;c-2 --;--- --;
a-3 --;a-2 --;a-1 --;
a-3 --;a-2 --;--- --;
a-3 --;a-2 --;a-1 --;
--- --;--- --;--- --;
#
# measure 10;
#
c-3 --;c-2 --;c-1 --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
--- --;--- --;--- --;
